50001,40001,30001,240101,Brake noise,240101,240103,Done Replaced brake pads,320.50,45000
50002,40002,30002,240105,Oil change,240105,240105,Done Routine oil change,89.99,22000
50003,40003,30003,240110,Engine vibration,240110,240115,Done Replaced engine mount,560.00,67000
50004,40004,30004,240112,Battery issue,240112,,,,12000
50005,40005,30005,240115,Transmission slip,240115,,,,83000
50006,40001,30001,240120,Oil leak,240120,240122,Done Replaced gasket,210.75,47000
50007,40002,30002,240125,Tire rotation,240125,240125,Done Rotated tires,45.00,24000
50008,40003,30003,240128,Check engine light,240128,,,,69000
50009,40004,30004,240130,Software update,240130,240130,Done Updated firmware,120.00,12500
50010,40005,30005,240201,Brake replacement,240201,240203,Done Replaced rotors and pads,640.00,84000
50011, 30001,90001,011026,Oil Change,011026,011026,Done,85.00,45000
50012, 30002,90003,011226,Brakes,011226,011326,Done Fixed,320.50,88200
50013, 30001,90002,022026,Battery,022026,,,,12000
